K	AVG CONTIG SIZE	N50	NUM CONTIGS	MAX CONTIG SIZE
10	13.8574149	13	4201	73
11	20.81328636	23	1987	144
12	32.3976378	51	1016	222
13	45.21396055	106	659	609
14	57.38383838	250	495	1120
15	66.68899522	420	418	1903
16	65.97291196	354	443	1560
17	71.97277228	381	404	1560
18	80.06685237	436	359	1560
19	87.07926829	627	328	1560
20	96.34812287	654	293	1560
21	102.4254545	654	275	1560
22	104.6346863	654	271	1560
23	108.148289	654	263	1560
24	113.9598394	654	249	1560
25	123.2631579	654	228	1553
26	133.1435407	654	209	1558
27	141.1479592	654	196	1559
28	146.8510638	723	188	1560
29	155.0508475	725	177	1561
33	192.3741007	733	139	2445
34	195.2919708	734	137	2447
35	200.6842105	735	133	1520
36	203.7328244	712	131	1509
37	195.6594203	746	138	1509
38	193.8214286	746	140	1509
39	186.7619048	609	147	1509
40	173.1812865	668	171	1568
41	176.0952381	644	168	1569
42	179.9207317	644	164	1570
43	182.117284	499	162	1571
44	180.0242424	500	165	1572
45	178.8323353	501	167	1573
46	176.0935673	475	171	1574
47	177.2470588	475	170	1549
48	181.5818182	475	165	1549
49	177.9823529	384	170	1455
50	182.2181818	349	165	1455
51	183.3170732	349	164	1455
52	181.2035928	319	167	1455
53	174.079096	316	177	1320
54	174.2768362	305	177	1320
55	169.2324324	282	185	1364
56	166.4052632	254	190	1364
57	162.6243655	233	197	1284
58	156.1761905	214	210	1284
59	145.7829787	180	235	1284
60	141.9918699	171	246	1284
61	139.8142292	168	253	1284
62	138.0540541	168	259	1203
63	137.85	167	260	1203
64	137.3549618	162	262	1162
65	134.6838235	156	272	1162
66	132.9569892	152	279	1056
67	128.8855219	145	297	860
68	127.6237624	135	303	740
69	123	129	328	740
70	118.9632768	120	354	740
71	71.66666667	71	3	73
72	73	73	1	73
73	73	73	1	73
74	75.33333333	74	3	78
75	75.5	76	2	76
76	76	76	1	76
77	78.33333333	78	3	80
78	78	78	3	78
79	79.66666667	80	3	80
80	80	80	1	80
81	81.66666667	81	3	83
82	83	83	1	83
83	83	83	1	83
84	85	85	3	86
85	85.5	86	2	86
86	86	86	1	86
87	88.5	89	2	89
88	88.5	89	2	89
89	89	89	1	89
90	90	90	1	90
91	93	94	3	94
92	93.5	94	2	94
93	93.5	94	2	94
94	94	94	1	94
95	95	95	2	95
96	96.42857143	96	7	98
97	97.5	98	2	98
98	98	98	1	98
99	99.18181818	99	11	100
100	100	100	2	100
33	175.27333333333334	593	150	1358
33	192.37410071942446	733	139	2445
