K	AVG CONTIG SIZE	N50	NUM CONTIGS	MAX CONTIG SIZE	
20	50.023809523809526	45	42	180
20	1048	1048	1	1048
10	216.8	341	5	370
11	1048	1048	1	1048
12	1048	1048	1	1048
13	1048	1048	1	1048
14	1048	1048	1	1048
15	1048	1048	1	1048
16	1048	1048	1	1048
17	1048	1048	1	1048
18	1048	1048	1	1048
19	1048	1048	1	1048
20	1048	1048	1	1048
21	1048	1048	1	1048
22	1048	1048	1	1048
23	1048	1048	1	1048
24	1048	1048	1	1048
25	1048	1048	1	1048
26	1048	1048	1	1048
27	372	1000	3	1000
28	372.6666666666667	1001	3	1001
29	373.3333333333333	1002	3	1002
30	374	1003	3	1003
31	374.6666666666667	1004	3	1004
32	375.3333333333333	1005	3	1005
33	376	1006	3	1006
34	376.6666666666667	1007	3	1007
35	377.3333333333333	1008	3	1008
36	378	1009	3	1009
37	378.6666666666667	1010	3	1010
38	379.3333333333333	1011	3	1011
39	380	1012	3	1012
40	380.6666666666667	1013	3	1013
41	381.3333333333333	1014	3	1014
42	382	1015	3	1015
43	297.25	749	4	749
44	297.75	750	4	750
45	247.2	308	5	571
46	247.6	308	5	571
47	248	308	5	571
48	248.4	308	5	571
49	215.16666666666666	227	6	571
50	191.57142857142858	228	7	571
