K	AVG CONTIG SIZE	N50	NUM CONTIGS	MAX CONTIG SIZE	
10	27.419354838709676	37	31	114
13	108.5	229	6	246
20	593	593	1	593
10	27.419354838709676	37	31	114
11	48.4	100	15	127
12	75.22222222222223	129	9	244
13	108.5	229	6	246
14	157.75	368	4	368
15	207	369	3	369
16	593	593	1	593
17	593	593	1	593
18	593	593	1	593
19	593	593	1	593
20	593	593	1	593
21	593	593	1	593
22	593	593	1	593
23	593	593	1	593
24	593	593	1	593
25	593	593	1	593
26	593	593	1	593
27	593	593	1	593
28	593	593	1	593
29	593	593	1	593
30	593	593	1	593
31	593	593	1	593
32	593	593	1	593
33	593	593	1	593
34	593	593	1	593
35	593	593	1	593
36	593	593	1	593
37	593	593	1	593
38	593	593	1	593
39	593	593	1	593
40	593	593	1	593
41	593	593	1	593
42	593	593	1	593
43	593	593	1	593
44	593	593	1	593
45	593	593	1	593
46	593	593	1	593
47	593	593	1	593
48	593	593	1	593
49	593	593	1	593
50	593	593	1	593
51	593	593	1	593
52	593	593	1	593
53	593	593	1	593
54	593	593	1	593
55	593	593	1	593
56	593	593	1	593
57	593	593	1	593
58	593	593	1	593
59	593	593	1	593
60	593	593	1	593
61	593	593	1	593
62	593	593	1	593
63	593	593	1	593
64	593	593	1	593
65	593	593	1	593
66	593	593	1	593
67	593	593	1	593
68	593	593	1	593
69	330	535	2	535
70	242.66666666666666	388	3	388
71	199.25	215	4	345
72	199.25	215	4	345
73	199.25	215	4	345
74	199.25	215	4	345
75	199.25	215	4	345
76	199.25	215	4	345
77	157.83333333333334	215	6	259
78	157.83333333333334	215	6	259
79	157.83333333333334	215	6	259
80	146.42857142857142	161	7	218
81	131.44444444444446	148	9	185
82	131.44444444444446	148	9	185
83	131.44444444444446	148	9	185
84	126.5	148	10	185
85	119.25	112	12	161
86	116.53846153846153	113	13	155
87	110.625	104	16	155
88	109.17647058823529	104	17	155
89	107.94444444444444	101	18	155
90	107.94444444444444	101	18	155
91	106.94736842105263	100	19	155
92	105.33333333333333	101	21	123
93	103.04	100	25	122
94	101.85714285714286	100	28	108
95	101.55172413793103	100	29	107
96	101.3	100	30	107
97	101.3	100	30	107
98	100.54285714285714	100	35	104
99	100.17948717948718	100	39	102
100	100.125	100	40	101
