K	AVG CONTIG SIZE	N50	NUM CONTIGS	MAX CONTIG SIZE	
20	144	359	30	1030
13	42.84615384615385	63	117	887
30	499.625	980	8	1045
40	81.4074074074074	82	81	186
50	50.233333333333334	50	570	53
10	23.491596638655462	29	238	176
11	30.08	42	175	286
12	36.84057971014493	56	138	409
13	42.84615384615385	63	117	887
14	49.47	83	100	889
15	59.9625	140	80	906
16	70.25373134328358	169	67	908
17	95.1063829787234	300	47	1004
18	117.8108108108108	342	37	1026
19	131.33333333333334	357	33	1028
20	144	359	30	1030
21	190.77272727272728	1032	22	1071
22	219	1034	19	1073
23	257.4375	1036	16	1075
24	337.1666666666667	1077	12	1215
25	443.1111111111111	1079	9	1217
26	564	1121	7	1218
27	565	1108	7	1219
28	781.4	1220	5	1593
29	566.4285714285714	980	7	1407
30	499.625	980	8	1045
31	280.26666666666665	406	15	660
32	280.53333333333336	406	15	661
33	201.3181818181818	236	22	545
34	194.1304347826087	219	23	546
35	170.40740740740742	206	27	433
36	142.44117647058823	178	34	433
37	126.425	151	40	387
38	109.89795918367346	130	49	387
39	92.875	100	64	356
40	81.4074074074074	82	81	186
41	74.09183673469387	77	98	158
42	68.58974358974359	69	117	155
43	63.44444444444444	62	144	128
44	58.71351351351351	56	185	95
45	56.28310502283105	55	219	85
46	54.353846153846156	53	260	80
47	52.72698412698413	52	315	75
48	51.55235602094241	50	382	67
49	50.704255319148935	50	470	59
50	50.233333333333334	50	570	53
20	144	359	30	1030
20	144	359	30	1030
20	144	359	30	1030
30	499.625	980	8	1045
20	144	359	30	1030
28	781.4	1220	5	1593
10	23.491596638655462	29	238	176
11	30.08	42	175	286
12	36.84057971014493	56	138	409
13	42.84615384615385	63	117	887
14	49.47	83	100	889
15	59.9625	140	80	906
16	70.25373134328358	169	67	908
17	95.1063829787234	300	47	1004
18	117.8108108108108	342	37	1026
19	131.33333333333334	357	33	1028
20	144	359	30	1030
21	190.77272727272728	1032	22	1071
22	219	1034	19	1073
23	257.4375	1036	16	1075
24	337.1666666666667	1077	12	1215
25	443.1111111111111	1079	9	1217
26	564	1121	7	1218
27	565	1108	7	1219
28	781.4	1220	5	1593
29	566.4285714285714	980	7	1407
30	499.625	980	8	1045
31	280.26666666666665	406	15	660
32	280.53333333333336	406	15	661
33	201.3181818181818	236	22	545
34	194.1304347826087	219	23	546
35	170.40740740740742	206	27	433
36	142.44117647058823	178	34	433
37	126.425	151	40	387
38	109.89795918367346	130	49	387
39	92.875	100	64	356
40	81.4074074074074	82	81	186
41	74.09183673469387	77	98	158
42	68.58974358974359	69	117	155
43	63.44444444444444	62	144	128
44	58.71351351351351	56	185	95
45	56.28310502283105	55	219	85
46	54.353846153846156	53	260	80
47	52.72698412698413	52	315	75
48	51.55235602094241	50	382	67
49	50.704255319148935	50	470	59
50	50.233333333333334	50	570	53
