K	AVG CONTIG SIZE	N50	NUM CONTIGS	MAX CONTIG SIZE	
13	48.875	57	8	87
20	93	101	4	146
30	42.94444444444444	38	18	69
25	72	106	6	156
22	70	103	6	150
21	94	102	4	148
19	92	100	4	144
17	90	98	4	140
14	72.2	95	5	133
15	88	96	4	136
16	89	97	4	138
30	42.94444444444444	38	18	69
20	93	101	4	146
28	51.90909090909091	51	11	86
27	61.125	74	8	108
25	72	106	6	156
13	48.875	57	8	87
25	72	106	6	156
10	23.05	26	20	81
11	25.105263157894736	28	19	83
12	30.466666666666665	30	15	85
13	48.875	57	8	87
14	72.2	95	5	133
15	88	96	4	136
16	89	97	4	138
17	90	98	4	140
18	91	99	4	142
19	92	100	4	144
20	93	101	4	146
21	94	102	4	148
22	70	103	6	150
23	70.66666666666667	104	6	152
24	71.33333333333333	105	6	154
25	72	106	6	156
26	65.71428571428571	84	7	107
27	61.125	74	8	108
28	51.90909090909091	51	11	86
29	48.38461538461539	49	13	87
30	42.94444444444444	38	18	69
31	40.08695652173913	38	23	62
32	37.61290322580645	36	31	62
33	36.80555555555556	36	36	43
34	36.02272727272727	35	44	41
35	35.410714285714285	35	56	38
