ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	3528	1	1	0.000000	13.953515	13.260488	0.000000	0.000000	0	N/A	N/A
2	332	0	0	0.000000	9.379518	9.180723	0.000000	0.000000	0	N/A	N/A
3	1454	0	0	0.000000	11.949794	11.836314	0.000000	0.000000	0	N/A	N/A
4	195	1	0	0.000000	10.548718	10.420513	0.000000	0.000000	0	N/A	N/A
5	162	0	1	0.000000	11.808642	11.808642	0.000000	0.000000	0	N/A	N/A
6	21	2	1	0.000000	13.190476	12.952381	0.000000	0.000000	0	N/A	N/A
7	55	1	1	0.000000	10.509091	10.509091	0.000000	0.000000	0	N/A	N/A
8	481	1	0	0.000000	8.461538	8.201663	0.000000	0.000000	0	N/A	N/A
9	2	2	2	0.000000	25.000000	23.000000	0.000000	0.000000	0	N/A	N/A
10	703	0	1	0.000000	12.300142	11.751067	0.000000	0.000000	0	N/A	N/A
11	493	1	1	0.000000	12.841785	12.474645	0.000000	0.000000	0	N/A	N/A
12	4	2	2	0.000000	14.750000	13.500000	0.000000	0.000000	0	N/A	N/A
13	178	0	1	0.000000	7.297753	7.297753	0.000000	0.000000	0	N/A	N/A
14	1224	0	0	0.000000	12.861111	12.370098	0.000000	0.000000	0	N/A	N/A
15	2257	0	1	0.000000	13.558263	13.000000	0.000000	0.000000	0	N/A	N/A
16	1629	0	0	0.000000	8.969306	8.827502	0.000000	0.000000	0	N/A	N/A
17	3907	0	0	0.000000	12.880471	12.417712	0.000000	0.000000	0	N/A	N/A
18	51	1	1	0.000000	9.058824	8.411765	0.000000	0.000000	0	N/A	N/A
19	4	2	2	0.000000	10.500000	10.500000	0.000000	0.000000	0	N/A	N/A
20	38	1	1	0.000000	6.736842	6.736842	0.000000	0.000000	0	N/A	N/A
21	235	1	0	0.000000	6.838298	6.421277	0.000000	0.000000	0	N/A	N/A
22	1487	1	0	0.000000	12.644250	12.295225	0.000000	0.000000	0	N/A	N/A
23	27	2	1	0.000000	18.629630	14.962963	0.000000	0.000000	0	N/A	N/A
24	8	1	1	0.000000	7.625000	7.625000	0.000000	0.000000	0	N/A	N/A
25	10	1	2	0.000000	61.000000	45.900000	0.000000	0.000000	0	N/A	N/A
26	4	1	2	0.000000	51.500000	43.500000	0.000000	0.000000	0	N/A	N/A
27	1	2	2	0.000000	69.000000	52.000000	0.000000	0.000000	0	N/A	N/A
28	1	2	1	0.000000	48.000000	48.000000	0.000000	0.000000	0	N/A	N/A
29	113	0	1	0.000000	13.840708	13.548673	0.000000	0.000000	0	N/A	N/A
30	41	1	1	0.000000	11.414634	11.414634	0.000000	0.000000	0	N/A	N/A
31	1	1	2	0.000000	38.000000	38.000000	0.000000	0.000000	0	N/A	N/A
32	17	1	2	0.000000	45.529412	42.058824	0.000000	0.000000	0	N/A	N/A
33	95	0	2	0.000000	12.568421	12.568421	0.000000	0.000000	0	N/A	N/A
34	1237	0	1	0.000000	9.538399	9.375101	0.000000	0.000000	0	N/A	N/A
35	240	1	0	0.000000	7.162500	6.883333	0.000000	0.000000	0	N/A	N/A
36	282	0	0	0.000000	12.425532	12.358156	0.000000	0.000000	0	N/A	N/A
37	239	2	0	0.000000	6.928870	6.928870	0.000000	0.000000	0	N/A	N/A
38	241	0	0	0.000000	9.958506	9.958506	0.000000	0.000000	0	N/A	N/A
39	125	0	0	0.000000	9.952000	9.688000	0.000000	0.000000	0	N/A	N/A
40	96	1	0	0.000000	9.531250	9.531250	0.000000	0.000000	0	N/A	N/A
41	6	2	1	0.000000	20.500000	20.500000	0.000000	0.000000	0	N/A	N/A
42	13	2	2	0.000000	16.615385	14.538462	0.000000	0.000000	0	N/A	N/A
43	156	0	0	0.000000	7.089744	7.089744	0.000000	0.000000	0	N/A	N/A
44	187	1	0	0.000000	6.855615	6.748663	0.000000	0.000000	0	N/A	N/A
45	7	2	2	0.000000	22.285714	22.285714	0.000000	0.000000	0	N/A	N/A
46	3	2	1	0.000000	30.333333	30.333333	0.000000	0.000000	0	N/A	N/A
47	2	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	N/A	N/A
48	3	1	1	0.000000	7.000000	6.000000	0.000000	0.000000	0	N/A	N/A
49	241	0	1	0.000000	12.464730	11.053942	0.000000	0.000000	0	N/A	N/A
50	20	1	1	0.000000	14.200000	14.200000	0.000000	0.000000	0	N/A	N/A
51	12	1	1	0.000000	8.666667	8.666667	0.000000	0.000000	0	N/A	N/A
52	4	1	2	0.000000	11.250000	11.250000	0.000000	0.000000	0	N/A	N/A
53	1	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	N/A	N/A
